10000 100000
0 9611 919
0 9980 902
0 5508 733
0 8671 255
0 6102 184
0 5245 373
0 9326 793
0 6809 192
0 4706 351
0 9747 69
1 3833 175
1 5211 391
1 5915 49
1 4624 808
1 1614 415
1 8360 369
1 9394 632
1 5584 76
1 1292 79
1 6079 52
2 9914 983
2 6836 100
2 4521 735
2 7125 919
2 5778 217
2 8485 431
2 9373 584
2 7334 275
2 8122 816
2 4410 74
3 1818 498
3 5040 476
3 3403 165
3 5410 655
3 9803 426
3 4674 329
3 1269 878
3 9426 673
3 4234 14
3 2491 192
4 4628 623
4 2796 150
4 2197 250
4 6627 872
4 480 897
4 1558 495
4 9462 557
4 6270 915
4 1269 533
4 3805 658
5 5298 666
5 2128 245
5 5695 666
5 7116 426
5 3969 300
5 7315 114
5 4099 783
5 4958 5
5 8901 166
5 7250 987
6 3233 566
6 8585 650
6 3100 65
6 8690 13
6 5668 446
6 1452 794
6 4625 876
6 9269 110
6 3416 277
6 9755 633
7 9313 850
7 547 365
7 7581 660
7 2107 113
7 2863 947
7 1479 751
7 5096 268
7 9065 648
7 2091 329
7 4649 333
8 9898 364
8 3675 553
8 3717 170
8 9867 256
8 6700 909
8 4828 555
8 3137 435
8 6342 9
8 7999 674
8 922 345
9 1931 106
9 2039 713
9 674 120
9 8063 740
9 639 404
9 2591 157
9 1523 836
9 9051 114
9 8547 622
9 4021 416
10 2360 585
10 8422 904
10 4921 896
10 7855 723
10 3841 107
10 4531 688
10 6858 620
10 6845 178
10 7059 692
10 2880 497
11 2229 156
11 9271 651
11 8966 127
11 3183 957
11 5381 214
11 6087 923
11 6283 846
11 6859 224
11 2715 199
11 775 859
12 1631 878
12 8764 799
12 8989 793
12 3733 930
12 6122 984
12 3105 538
12 9191 516
12 7614 278
12 4576 407
12 9825 302
13 9630 731
13 9296 628
13 6872 234
13 136 103
13 7675 213
13 3741 583
13 770 339
13 1054 220
13 39 415
13 2201 625
14 555 249
14 7634 661
14 7593 70
14 9855 661
14 6526 905
14 4828 671
14 9914 902
14 1852 879
14 4527 171
14 1528 354
15 9866 177
15 3462 731
15 3094 97
15 6449 254
15 8586 287
15 9861 190
15 2590 448
15 1852 21
15 3907 443
15 8033 677
16 4632 385
16 2803 581
16 2606 812
16 8168 550
16 253 292
16 6905 743
16 3453 796
16 3070 918
16 9061 320
16 5459 415
17 5345 79
17 9122 753
17 4226 167
17 5302 954
17 8188 616
17 271 835
17 6354 517
17 2701 127
17 4939 227
17 3632 551
18 6210 754
18 1164 264
18 4611 228
18 293 830
18 3394 548
18 8800 222
18 3813 84
18 9712 986
18 5482 485
18 8179 564
19 5913 888
19 995 192
19 3187 38
19 515 729
19 7106 616
19 7496 136
19 8204 512
19 4402 485
19 5022 789
19 8063 98
20 6898 359
20 5492 888
20 3830 839
20 2190 586
20 2137 553
20 569 798
20 299 826
20 7226 292
20 3721 861
20 7909 218
21 3214 881
21 8716 986
21 5538 887
21 7847 627
21 5219 142
21 5998 45
21 746 295
21 9556 610
21 6359 775
21 5546 436
22 3829 321
22 5783 532
22 1500 65
22 6702 735
22 9771 130
22 1071 633
22 4269 932
22 373 548
22 9393 163
22 5756 924
23 3064 337
23 7754 851
23 2146 470
23 2256 772
23 3624 41
23 2654 770
23 6482 672
23 4851 374
23 4062 463
23 3736 560
24 7406 161
24 370 530
24 7231 931
24 7790 91
24 2349 629
24 2537 206
24 3559 103
24 7830 99
24 2523 581
24 9248 721
25 8824 175
25 2321 266
25 1917 323
25 6297 632
25 2388 708
25 8715 396
25 5944 733
25 6060 616
25 3718 343
25 246 106
26 2711 313
26 6884 678
26 566 203
26 6144 829
26 7679 105
26 168 763
26 5052 287
26 873 29
26 2678 143
26 8651 569
27 5396 993
27 8804 204
27 6901 718
27 1775 8
27 156 230
27 7148 71
27 6775 582
27 3755 126
27 2636 342
27 7717 402
28 5437 277
28 3916 212
28 207 373
28 6551 639
28 5653 409
28 9332 506
28 8745 386
28 7486 763
28 6857 534
28 5967 605
29 7112 329
29 6516 367
29 3708 958
29 5135 199
29 8815 838
29 7692 300
29 223 478
29 1659 15
29 4459 816
29 8337 747
30 1929 999
30 1239 814
30 4829 180
30 1838 435
30 4297 387
30 3283 517
30 5053 427
30 189 735
30 4302 330
30 816 651
31 3445 129
31 2373 105
31 9396 200
31 9938 459
31 7909 817
31 1231 992
31 9023 986
31 1019 882
31 6398 557
31 3154 434
32 7003 515
