1000 25000
517 902 2596
351 304 7322
747 795 2333
498 823 3002
650 136 9456
890 533 95
507 207 5347
825 166 4662
216 363 7956
783 101 2187
762 698 3807
815 436 3413
504 678 8954
490 921 9631
835 571 8941
217 240 4520
736 832 711
293 11 9471
443 626 9730
406 378 7735
657 216 353
87 783 554
101 963 2002
541 614 5992
359 399 8935
126 622 4962
880 126 2662
899 592 6701
529 55 8681
123 968 9481
732 602 673
54 586 2208
951 760 4486
831 902 1467
611 988 2006
784 18 9337
913 690 5784
733 465 772
221 253 1622
650 935 6714
816 387 7633
638 374 3717
880 570 6392
956 509 8295
488 995 9735
626 697 7125
951 188 5556
257 80 3610
206 109 7249
524 178 1669
928 811 3771
215 225 8391
162 495 2008
632 137 7815
353 632 7244
527 425 2135
256 7 5767
664 132 4581
537 186 780
779 213 5418
447 35 4723
859 80 3892
398 332 3721
817 580 8203
134 469 7772
747 916 9590
397 701 9105
180 51 8506
164 664 4941
820 111 787
281 944 8383
100 883 6052
825 307 2159
27 305 4457
679 265 2571
490 524 555
683 987 9177
464 915 4946
28 268 8900
655 337 8939
969 762 6639
994 31 2225
964 737 9010
191 849 9454
583 211 9811
161 774 5436
619 735 3530
887 633 9745
871 340 8542
66 669 5264
359 0 1301
495 576 980
801 967 1793
379 856 7728
178 293 5879
969 54 3452
510 150 7047
662 115 8105
97 467 7462
81 950 7679
872 839 2691
106 3 5762
694 384 1004
41 756 277
124 611 456
119 696 7850
45 309 7173
391 969 8770
603 759 7800
384 57 7378
612 623 8915
538 854 1635
958 631 4308
506 926 9017
759 633 5634
279 997 3523
397 460 382
756 701 6433
205 145 2092
214 161 3243
698 370 1461
20 346 8002
96 704 8229
377 630 7864
936 359 8595
692 154 6649
796 425 2455
542 349 473
749 24 9828
401 64 6859
311 733 4034
631 20 8239
585 740 7056
421 414 3644
151 229 1979
672 436 9385
545 954 860
1 644 8623
999 822 6162
602 556 4576
957 286 8110
279 246 9404
923 61 1074
555 904 9597
563 210 439
755 705 7920
257 254 1654
412 574 4550
116 13 5826
870 146 8461
879 672 2851
872 562 3214
874 96 4618
588 647 8459
551 642 2118
491 688 8188
975 738 9000
966 214 3680
195 69 856
68 989 3726
324 359 3327
552 514 173
854 691 8086
418 367 2186
42 323 8575
150 798 6593
321 408 5226
30 288 2451
217 735 2530
604 989 5968
599 218 8518
108 599 5364
34 686 371
96 859 8773
207 813 2967
133 74 5338
172 736 3463
714 691 359
421 207 3990
123 483 1678
568 84 7994
967 180 3647
42 135 6895
865 519 948
293 22 2342
636 914 9820
145 39 8228
438 684 3131
117 483 7776
389 660 5952
728 184 3966
781 146 1406
714 887 8903
52 626 1691
970 221 4094
478 479 6442
727 844 2639
653 41 1368
782 695 4556
865 195 453
390 764 4026
438 232 1735
899 262 1543
295 689 7208
650 896 6174
228 660 2420
154 211 441
783 952 7353
926 764 5789
693 671 6940
400 718 624
183 205 7803
836 959 21
79 268 7430
409 816 9668
713 322 8506
955 269 7585
849 258 3504
23 725 2653
590 43 2933
959 338 6556
161 241 4824
276 166 3982
488 68 6759
83 225 7106
100 113 8778
545 452 176
273 761 7075
427 368 6063
526 540 2333
164 869 8223
551 123 564
934 321 3029
627 753 9690
920 655 5764
869 660 853
507 191 1691
373 730 7939
246 344 9236
193 76 8072
963 608 1407
472 133 5731
972 242 6828
258 607 1162
813 818 4664
709 35 10
116 176 4154
490 553 796
158 827 3502
773 880 2939
298 400 7446
217 352 7195
994 120 6204
453 485 1992
403 804 8574
728 3 9936
396 107 6254
803 798 6527
979 242 5724
488 695 2601
453 231 7404
951 360 2276
603 634 8229
370 647 4714
653 222 8175
432 302 5376
611 556 5298
716 827 3853
427 613 4473
279 540 6979
136 790 8664
106 44 4443
288 945 9771
729 782 6203
771 970 7008
