10000 35000
0 4735 891
0 9165 658
0 1749 372
1 9558 514
1 7194 592
1 4439 972
2 1124 493
2 8612 154
2 7259 259
3 5836 767
3 609 891
3 109 871
4 4653 491
4 1337 810
4 9078 7
5 403 418
5 5089 280
5 1567 427
6 2931 569
6 5011 224
6 8012 946
7 181 182
7 4507 997
7 3070 91
8 8337 774
8 9564 128
8 9734 556
9 5406 948
9 6020 783
9 9168 690
10 8555 522
10 7343 459
10 7130 302
11 4539 286
11 1046 415
11 242 139
12 6558 684
12 8878 128
12 4713 864
13 2487 748
13 3572 297
13 8362 865
14 600 658
14 1321 362
14 6034 94
15 5782 581
15 2683 722
15 5324 967
16 6386 226
16 5438 757
16 5038 747
17 1068 634
17 4046 133
17 3732 711
18 3167 187
18 5203 348
18 6263 668
19 3364 60
19 174 776
19 1309 781
20 3816 75
20 4472 376
20 9741 676
21 3866 582
21 9642 482
21 4269 849
22 7990 523
22 3080 893
22 1664 146
23 6513 332
23 5302 57
23 1257 172
24 5471 513
24 120 305
24 605 428
25 6612 956
25 9301 802
25 3636 558
26 7267 503
26 3484 543
26 642 588
27 2869 787
27 8826 280
27 4507 670
28 6665 451
28 3230 580
28 3246 68
29 7071 706
29 2087 276
29 541 567
30 1179 516
30 9180 87
30 5867 636
31 6636 707
31 8172 678
31 6848 11
32 692 223
32 3110 25
32 1111 735
33 1069 270
33 9854 50
33 5944 983
34 3833 405
34 6151 559
34 9178 748
35 1586 848
35 8734 404
35 8514 478
36 3399 619
36 4374 42
36 1278 492
37 9676 658
37 6451 60
37 4181 660
38 7302 895
38 728 321
38 2287 704
39 6502 96
39 8268 253
39 8640 239
40 7437 601
40 4598 128
40 4660 353
41 2502 14
41 5631 834
41 609 930
42 4591 357
42 9134 167
42 9128 781
43 7999 993
43 3230 599
43 6566 492
44 7573 799
44 5167 251
44 7432 424
45 338 52
45 80 837
45 4915 173
46 8040 340
46 5760 324
46 6277 373
47 796 259
47 2131 592
47 9269 510
48 5528 454
48 5747 519
48 2964 623
49 1505 846
49 6716 519
49 555 5
50 4136 197
50 6261 460
50 2113 890
51 1572 875
51 5911 195
51 1396 384
52 4904 670
52 341 289
52 5796 950
53 8998 234
53 4201 521
53 2263 504
54 598 65
54 1737 28
54 6740 524
55 1896 856
55 65 359
55 4968 818
56 6118 659
56 3462 175
56 3157 250
57 9172 271
57 4222 762
57 1749 106
58 3754 290
58 3348 506
58 977 152
59 6406 638
59 7941 465
59 7421 343
60 8169 312
60 5563 232
60 6972 63
61 8190 373
61 1170 891
61 2806 92
62 8543 647
62 9283 231
62 8954 538
63 693 809
63 6928 816
63 1059 392
64 7396 124
64 3420 315
64 8517 174
65 6440 821
65 3740 586
65 1067 175
66 2303 972
66 9576 334
66 9626 197
67 8112 768
67 6661 562
67 336 18
68 2051 499
68 3313 300
68 9480 269
69 127 380
69 2088 664
69 2589 159
70 9615 161
70 1053 984
70 5492 105
71 9843 224
71 1493 325
71 5269 421
72 1165 471
72 5871 729
72 7609 658
73 168 9
73 5094 969
73 5 51
74 5890 571
74 8720 67
74 368 596
75 5524 8
75 1767 661
75 6321 794
76 3405 476
76 6786 28
76 20 321
77 7503 174
77 2453 461
77 9048 179
78 4704 229
78 1403 903
78 4297 410
79 751 376
79 2422 931
79 6109 572
80 4046 590
80 147 90
80 2942 927
81 2758 890
81 1635 539
81 279 532
82 1921 588
82 7598 334
82 3227 953
83 4291 442
83 3400 575
83 7683 213
84 7678 499
84 9954 936
84 9533 164
85 9160 341
85 8144 575
85 9750 57
86 785 741
86 4208 523
86 9843 929
87 591 421
87 9517 794
87 5616 356
88 763 598
88 5874 523
88 6530 213
89 1864 13
89 1474 23
89 1902 324
90 135 329
90 1129 595
90 1618 268
91 4836 161
91 9785 906
91 7779 502
92 5120 986
92 8805 75
92 3072 832
93 5526 635
93 404 623
93 9203 726
94 144 687
94 96 549
94 2081 335
95 3760 159
95 9360 335
95 8100 206
96 75 778
96 3678 217
96 4630 532
97 8728 349
97 4456 433
97 8205 504
98 3110 664
98 7774 471
98 386 547
99 1665 444
99 2321 964
99 1756 687
100 6757 351
100 2680 828
100 3692 186
101 9965 493
101 9810 901
101 6374 672
102 9515 901
102 6233 978
102 5729 656
103 3188 190
103 8730 760
103 8107 874
104 8904 83
104 3946 876
104 8621 269
105 1076 829
105 3333 377
105 5736 842
106 743 442
106 3154 33
106 1012 357
107 1768 63
107 7307 787
107 3433 194
108 8929 80
108 2323 638
108 3987 840
109 1304 571
109 182 266
109 5334 409
110 8873 464
110 8433 459
110 7163 285
111 2852 828
111 1331 311
111 9233 961
112 7685 875
112 3677 151
112 2096 235
113 8391 382
113 9673 684
113 6427 895
114 9118 87
114 3745 183
114 9264 17
115 371 643
115 803 560
115 1561 432
116 5874 723
116 2678 582
116 9577 528
117 5439 530
117 8823 264
117 4207 519
118 6096 902
118 4318 607
118 6395 203
119 2711 88
119 602 693
119 6265 782
120 8426 777
120 5220 510
120 6980 431
121 841 175
121 8128 413
121 4913 828
122 6243 792
122 7023 59
122 5223 788
123 5245 883
123 8688 441
123 4247 487
124 6088 696
124 1442 127
124 978 226
125 1870 399
125 3630 746
125 442 60
126 3601 111
126 9497 485
126 1054 707
127 4908 377
127 6253 910
127 5885 317
128 7980 193
128 3437 209
128 4022 990
129 9798 504
129 495 783
129 6635 370
130 4487 658
130 8714 399
130 3044 334
131 3732 815
131 7184 540
131 2234 957
132 4220 946
132 109 117
132 1749 820
133 3480 345
133 8017 882
133 2700 969
134 8077 474
134 1901 394
134 5148 968
135 8191 51
135 2794 24
135 9240 654
136 9823 862
136 8525 90
136 1514 61
137 6290 769
137 4453 351
137 853 781
138 4183 527
138 8390 822
138 9002 896
139 2087 625
139 3888 970
139 1711 648
140 1088 459
140 6784 98
140 9401 633
141 6503 567
141 955 525
141 1199 922
142 9088 207
142 9072 218
142 736 774
143 4112 641
143 5632 332
143 3665 375
144 1387 181
144 4782 69
144 9700 253
145 2720 277
145 3999 499
145 7205 181
146 5430 826
146 2488 943
146 4264 974
147 313 37
147 6334 757
147 4585 958
148 1195 678
148 2515 86
148 855 841
149 7605 368
149 1572 258
149 7826 627
150 1041 357
150 6741 752
150 3527 897
151 6332 232
151 7773 946
151 2351 833
152 8888 275
152 3980 275
152 8409 704
153 1511 74
153 6998 361
153 1575 526
154 5201 883
154 3925 389
154 2188 109
155 2284 709
155 8599 472
155 9261 581
156 445 5
156 923 689
156 4810 512
157 3540 439
157 6502 516
157 7771 218
158 3559 928
158 6274 580
158 4861 34
159 4583 989
159 5410 725
159 2598 402
160 1018 907
160 7018 478
160 3325 894
161 5439 203
161 3511 944
161 9047 395
162 601 745
162 9604 299
162 198 647
163 38 643
163 3020 930
163 1836 950
164 406 993
164 2610 468
164 9497 722
165 1032 998
165 5877 914
165 6866 127
166 2055 222
166 7531 269
166 6642 376
167 9596 998
167 3251 961
167 7977 220
168 853 682
168 9812 596
168 2506 607
169 481 554
169 109 493
169 6961 864
170 8893 725
170 7219 869
170 8798 27
171 6321 712
171 7016 31
171 9042 153
172 6421 54
172 6939 283
172 5924 127
173 7819 827
173 6904 778
173 3590 241
174 374 270
174 2956 263
174 6950 666
175 7234 998
175 7717 558
175 1542 248
176 2252 912
176 2325 860
176 1292 325
177 4370 503
177 4337 456
177 6330 152
178 4799 930
178 4754 319
178 7936 717
179 31 626
179 6155 653
179 9036 435
180 1264 96
180 347 85
180 452 116
181 2099 464
181 1207 298
181 1558 824
182 8981 382
182 9889 152
182 1045 74
183 4810 926
183 990 312
183 4819 921
184 8003 327
184 3848 245
184 5353 306
185 8252 739
185 277 933
185 7248 787
186 8 70
186 8103 158
186 7371 197
187 6066 790
187 2355 325
187 5689 100
188 5855 253
188 4598 408
188 9343 569
189 5549 985
189 9255 73
189 28 865
190 757 623
190 9244 588
190 3017 633
191 9628 375
191 3610 170
191 6440 903
192 3718 78
192 3049 493
192 9628 128
193 2360 672
193 1932 771
193 5882 411
194 8519 629
194 8828 245
194 9897 270
195 1236 452
195 3873 516
195 9454 682
196 9112 204
196 3713 33
196 5741 672
197 885 905
197 3249 835
197 5968 987
198 4668 15
198 8598 965
198 8257 588
199 502 856
199 249 47
199 809 477
200 8750 316
200 6008 61
200 6894 982
201 6499 288
201 8422 241
201 9413 204
202 1816 504
202 2937 502
202 1205 286
203 1501 141
203 8438 938
203 46 105
204 9354 524
204 1746 86
204 2795 610
205 1419 966
205 6472 185
205 8560 280
206 4390 443
206 8720 117
206 4517 3
207 8891 69
207 2250 85
207 493 778
208 958 358
208 7336 494
208 5835 984
209 9439 708
209 9443 222
209 5544 127
210 1517 447
210 329 126
210 51 343
211 3398 304
211 826 686
211 1918 821
212 8459 129
212 8283 936
212 6119 69
213 3392 772
213 9314 987
213 2373 605
214 9115 97
214 4452 684
214 8654 120
215 1339 228
215 3074 224
215 7867 739
216 3977 330
216 4057 334
216 944 909
217 4688 490
217 1761 660
217 7294 480
218 982 360
218 9743 40
218 4611 773
219 8067 799
219 889 379
219 877 417
220 7540 998
220 4149 143
220 5275 941
221 1572 341
221 1318 29
221 8492 918
222 9451 964
222 2190 981
222 1926 163
223 4734 349
223 1756 569
223 5202 436
224 3312 45
224 6888 120
224 6576 44
225 8281 554
225 1530 643
225 4968 203
226 8368 693
226 5170 977
226 4260 202
227 5388 152
227 4888 118
227 6091 9
228 8858 786
228 7446 868
228 1240 352
229 9013 561
229 6494 1000
229 8692 108
230 2437 694
230 518 903
230 1389 450
231 3455 395
231 2829 663
231 9073 864
232 3453 53
232 7974 513
232 7688 710
233 3848 752
233 3463 495
233 8896 840
234 8617 55
234 4453 397
234 665 372
235 7876 351
235 6556 483
235 95 598
236 1810 321
236 3551 957
236 1792 861
237 7266 632
237 8164 801
237 2697 637
238 199 31
238 2994 305
238 6182 202
239 9748 384
239 38 78
239 9203 610
240 8301 382
240 6562 908
240 1801 66
241 6834 357
241 7876 472
241 1958 581
242 3829 993
242 7412 667
242 1908 184
243 744 982
243 7554 418
243 5003 524
244 4454 92
244 7408 874
244 6206 141
245 5299 616
245 2178 920
245 2705 570
246 2403 802
246 1931 291
246 8592 917
247 4097 724
247 2719 154
247 7342 991
248 6590 113
248 5731 248
248 2020 888
249 5511 582
249 8130 690
249 7411 331
250 6160 704
250 7451 743
250 8643 21
251 6434 89
251 9832 980
251 4381 929
252 3936 966
252 5724 798
252 9571 722
253 1863 530
253 4126 929
253 5122 740
254 1143 787
254 7901 354
254 9170 539
255 8218 686
255 1247 23
255 321 466
256 5797 275
256 4481 814
256 2400 485
257 9023 897
257 4103 5
257 1905 209
258 8355 809
258 8970 902
258 5658 263
259 6913 506
259 4786 581
259 2875 724
260 4183 56
260 6262 751
260 8453 244
261 7752 705
261 9662 84
261 1010 484
262 1671 431
262 1926 557
262 55 184
263 6753 141
263 6738 104
263 3990 163
264 7919 236
264 9004 869
264 4414 716
265 3383 186
265 2209 844
265 1307 342
266 5457 478
266 3802 186
266 6744 167
267 6179 363
267 422 413
267 9765 543
268 4628 443
268 6493 983
268 4779 424
269 9616 424
269 2984 897
269 8284 834
270 1569 634
270 7548 720
270 4616 864
271 2217 555
271 2677 88
271 9954 771
