10000 10500
0 3065 350
1 5779 163
2 2495 806
3 5148 686
4 4983 559
5 3018 461
6 9217 644
7 2038 770
8 6855 581
9 1059 637
10 482 821
11 6577 844
12 4061 512
13 7925 174
14 5710 721
15 2071 766
16 7917 314
17 5167 978
18 9159 760
19 1583 172
20 8984 129
21 829 935
22 9701 2
23 4492 288
24 6149 253
25 5209 443
26 9457 854
27 9748 194
28 2223 835
29 6234 713
30 9755 299
31 4158 202
32 8388 196
33 4799 974
34 3317 421
35 5545 232
36 3051 146
37 5640 208
38 5925 810
39 2152 60
40 9333 700
41 5608 230
42 5549 856
43 9231 279
44 2614 104
45 5835 530
46 6808 230
47 609 243
48 2106 17
49 2200 879
50 4503 292
51 3447 433
52 2103 489
53 2843 592
54 3000 116
55 8146 125
56 9269 704
57 1430 156
58 1213 907
59 7780 79
60 6015 701
61 9217 320
62 7573 459
63 6206 911
64 2394 216
65 1238 271
66 3447 478
67 8962 9
68 5745 21
69 8795 524
70 4546 511
71 9878 984
72 7738 400
73 7605 785
74 4995 167
75 4282 204
76 9082 220
77 7603 639
78 2933 359
79 6338 582
80 8742 350
81 8533 661
82 4971 318
83 5505 96
84 5942 880
85 575 292
86 2670 448
87 5481 80
88 3817 36
89 6953 966
90 6841 255
91 3737 296
92 6397 862
93 1323 131
94 2571 722
95 9550 750
96 3573 620
97 5630 824
98 7144 683
99 8092 657
100 9126 451
101 3353 365
102 6784 8
103 3004 546
104 4749 212
105 4546 383
106 7424 711
107 5811 627
108 5706 776
109 7563 837
110 6015 597
111 1272 535
112 8271 794
113 3645 70
114 169 617
115 7972 129
116 8860 649
117 4123 638
118 317 743
119 1454 36
120 8170 327
121 7512 706
122 5000 227
123 9314 788
124 2533 861
125 3109 320
126 1116 691
127 720 111
128 3489 680
129 9534 916
130 1648 208
131 7020 363
132 7235 629
133 2943 47
134 8667 827
135 2981 293
136 6267 355
137 6163 395
138 9428 330
139 3884 962
140 5013 79
141 8951 486
142 4940 516
143 7187 38
144 6689 904
145 205 650
146 4804 967
147 9722 173
148 2603 192
149 8290 454
150 8310 425
151 9061 329
152 2789 885
153 2729 257
154 1756 466
155 138 654
156 6693 759
157 2558 245
158 9831 430
159 3877 900
160 9004 128
161 248 947
162 8706 596
163 1159 362
164 5216 719
165 6298 374
166 6504 223
167 9012 529
168 1135 865
169 8190 532
170 3383 667
171 826 384
172 2634 94
173 4327 700
174 7070 312
175 713 962
176 2492 858
177 5622 339
178 3830 561
179 8732 126
180 7025 926
181 4244 815
182 3316 795
183 3892 55
184 6800 848
185 2668 12
186 7801 157
187 3472 162
188 9842 864
189 3115 689
190 3443 392
191 2963 282
192 99 168
193 1228 482
194 6566 713
195 1295 469
196 6425 677
197 4983 306
198 458 187
199 6532 141
200 1501 608
201 603 455
202 9599 995
203 6743 614
204 5461 553
205 6971 1000
206 3089 532
207 3741 146
208 2768 65
209 5966 900
210 2043 966
211 962 573
212 6941 780
213 7807 774
214 5296 456
215 9505 654
216 1845 449
217 793 660
218 4246 463
219 5376 534
220 6820 416
221 3971 96
222 4969 207
223 8380 426
224 1253 968
225 2379 284
226 9219 362
227 7777 704
228 3540 559
229 8037 15
230 7581 270
231 5638 534
232 7673 838
233 1756 580
234 7424 751
235 2122 553
236 555 60
237 7503 827
238 6505 45
239 9067 218
240 9279 34
241 5723 134
242 2928 972
243 922 449
244 3346 229
245 2812 567
246 8995 479
247 4418 769
248 4237 737
249 4769 191
250 8332 523
251 1372 881
252 2807 970
253 4427 728
254 927 415
255 6639 153
256 4916 178
257 1734 754
258 3253 989
259 705 910
260 9850 890
261 9806 527
262 2685 516
263 4251 837
264 3122 520
265 4702 329
266 473 94
267 1303 730
268 6183 246
269 4706 115
270 6280 129
271 1556 180
272 2342 716
273 7920 15
274 4145 719
275 4186 520
276 2197 971
277 9139 398
278 6762 713
279 3907 906
280 3798 340
281 6684 613
282 7349 623
283 447 393
284 4223 945
285 4711 55
286 5681 534
287 5598 989
288 3098 55
289 9930 555
290 5326 995
291 4693 193
292 6177 828
293 8569 123
294 9405 241
295 4653 875
296 572 555
297 4852 416
298 8873 147
299 656 573
300 6849 177
301 231 426
302 4377 259
303 7455 436
304 9350 892
305 602 443
306 1402 815
307 139 722
308 568 122
309 5887 117
310 4296 700
311 6718 211
312 3494 728
313 5335 921
314 7513 531
315 3655 374
316 6165 733
317 8418 153
318 717 145
319 2139 740
320 9767 309
321 7459 853
322 548 889
323 1767 915
324 2562 566
325 5291 992
326 2697 198
327 9288 966
328 4599 101
329 5533 263
330 2295 952
331 1857 104
332 3961 698
333 9259 742
334 205 672
335 222 815
336 996 99
337 5889 269
338 3672 421
339 6622 902
340 9689 701
341 479 19
342 7310 968
343 7280 466
344 7842 708
345 2489 561
346 4996 79
347 4836 613
348 1633 618
349 612 700
350 8625 615
351 104 299
352 3895 597
353 6022 880
354 4760 388
355 2618 791
356 2051 528
357 9119 596
358 4688 210
359 7560 658
360 1742 920
361 4987 359
362 9236 3
363 7698 703
364 5106 626
365 4359 326
366 8247 438
367 5855 992
