10000 50000
0 4406 137
0 9084 486
0 8559 183
0 1601 860
0 8922 273
1 8032 909
1 6880 836
1 6370 410
1 8339 948
1 1825 847
2 1235 736
2 5441 638
2 2009 999
2 4895 19
2 8000 512
3 9451 201
3 488 109
3 9043 826
3 4708 231
3 3692 849
4 8980 282
4 9724 924
4 5070 398
4 6059 483
4 5102 509
5 9576 799
5 4522 633
5 6941 647
5 9212 468
5 6061 154
6 8916 107
6 2515 599
6 5923 755
6 2399 41
6 7916 127
7 3169 856
7 5520 560
7 4069 5
7 7251 413
7 695 666
8 308 603
8 3992 166
8 5361 553
8 9771 892
8 5850 371
9 8711 92
9 1715 837
9 4182 407
9 9354 249
9 1401 948
10 9984 268
10 4940 801
10 131 847
10 5374 426
10 3977 720
11 3304 247
11 5833 713
11 5786 222
11 8737 367
11 2241 280
12 39 238
12 9882 779
12 7754 123
12 332 577
12 6638 851
13 1825 478
13 1760 270
13 407 68
13 3158 992
13 5226 502
14 9492 964
14 560 155
14 4720 198
14 6106 655
14 6491 292
15 5343 489
15 4880 897
15 4438 297
15 7948 970
15 6115 317
16 3362 663
16 1129 517
16 2296 511
16 17 272
16 4602 589
17 135 37
17 5718 225
17 5066 14
17 4885 731
17 858 14
18 984 731
18 694 414
18 9703 288
18 9182 733
18 8316 427
19 2139 790
19 4979 693
19 8138 974
19 8586 451
19 5427 899
20 6201 298
20 5956 979
20 622 320
20 9567 423
20 4292 933
21 1382 988
21 6273 263
21 4836 950
21 6826 452
21 8068 93
22 8578 987
22 3685 855
22 3912 213
22 9836 682
22 6742 711
23 6631 628
23 7299 417
23 3538 986
23 7615 974
23 2849 524
24 1166 934
24 7899 514
24 5918 561
24 2714 862
24 6439 740
25 1741 100
25 9915 417
25 9975 651
25 9487 624
25 4994 281
26 4608 262
26 5405 14
26 4021 811
26 5291 363
26 7420 286
27 3131 299
27 2353 375
27 9002 828
27 2919 84
27 3466 749
28 7209 350
28 729 870
28 8484 234
28 5210 528
28 9525 247
29 5426 279
29 6931 750
29 1576 594
29 4363 576
29 7925 350
30 4946 512
30 8693 545
30 9881 143
30 311 408
30 8306 811
31 1668 857
31 9931 23
31 7454 497
31 2982 761
31 8127 915
32 7900 223
32 9685 398
32 2712 535
32 2209 336
32 5082 425
33 8300 792
33 8436 17
33 9071 491
33 3938 299
33 5825 798
34 8175 24
34 3889 653
34 5313 773
34 2074 229
34 7774 840
35 6771 707
35 4882 434
35 6895 542
35 9339 77
35 7970 264
36 8913 529
36 4991 151
36 1070 969
36 330 917
36 6245 510
37 8300 632
37 689 729
37 9208 329
37 714 882
37 9472 610
38 6427 970
38 8936 973
38 8323 923
38 7957 486
38 2399 801
39 3114 417
39 4267 52
39 1201 392
39 7661 478
39 6396 306
40 8709 712
40 8247 615
40 5886 870
40 7529 73
40 4967 123
41 8877 173
41 7994 796
41 5805 305
41 8395 305
41 5349 325
42 2368 10
42 7211 134
42 9038 77
42 8168 978
42 9648 983
43 9139 553
43 320 172
43 8453 281
43 4014 829
43 1140 365
44 4732 493
44 7238 207
44 1962 96
44 8641 997
44 2260 282
45 3133 764
45 8005 518
45 929 57
45 6042 138
45 5958 579
46 1689 255
46 5393 263
46 4265 396
46 4749 222
46 4829 737
47 9324 942
47 595 598
47 7310 912
47 9090 513
47 8729 681
48 8524 82
48 8404 719
48 7637 618
48 8429 826
48 9582 797
49 9587 588
49 8057 476
49 965 362
49 9983 801
49 9874 529
50 2474 244
50 361 571
50 1843 34
50 7419 483
50 8586 29
51 344 872
51 6133 657
51 983 312
51 7686 53
51 8720 546
52 6497 13
52 2243 671
52 2713 785
52 5851 591
52 3735 515
53 8548 248
53 7180 935
53 9270 305
53 3967 2
53 325 505
54 4273 995
54 5144 610
54 5691 747
54 8792 187
54 8834 227
55 28 772
55 4685 855
55 2253 253
55 8819 698
55 9393 225
56 835 949
56 1669 66
56 2958 600
56 4273 46
56 408 544
57 8313 250
57 1927 720
57 2251 363
57 7666 607
57 129 85
58 3088 132
58 2035 668
58 3910 381
58 5491 916
58 3248 974
59 842 531
59 8755 434
59 9161 738
59 2931 891
59 2831 583
60 9045 610
60 4806 831
60 644 99
60 6522 756
60 8133 643
61 4960 579
61 2027 4
61 6949 529
61 5381 944
61 1575 867
62 3103 285
62 4193 846
62 2816 10
62 7554 636
62 6100 888
63 2538 422
63 484 206
63 1341 118
63 2627 155
63 9205 153
64 2962 325
64 68 911
64 7547 766
64 7289 460
64 3380 49
65 2563 87
65 4660 827
65 260 529
65 3365 438
65 1089 951
66 47 166
66 2510 343
66 4498 516
66 6129 138
66 273 320
67 755 868
67 5225 292
67 2913 532
67 3566 876
67 1856 985
68 6752 785
68 712 880
68 9213 287
68 3988 353
68 2425 941
69 9838 667
69 4356 972
69 6943 845
69 8999 831
69 1122 845
70 328 229
70 3481 536
70 2126 302
70 7066 630
70 6533 951
71 2533 320
71 4860 528
71 6697 133
71 4839 721
71 9678 667
72 2508 941
72 4701 873
72 236 584
72 1401 42
72 7398 100
73 2300 786
73 7289 598
73 4532 854
73 8517 74
73 671 892
74 9628 970
74 2157 882
74 8458 177
74 4332 827
74 5731 173
75 4034 789
75 5895 765
75 8251 346
75 9150 174
75 1934 223
76 45 148
76 3983 325
76 7510 870
76 1892 265
76 8045 327
77 7802 797
77 3184 146
77 1318 727
77 3905 46
77 9202 589
78 9267 653
78 8616 295
78 6161 931
78 7817 479
78 7487 16
79 1096 190
79 630 27
79 2906 442
79 1579 884
79 2891 414
80 7603 902
80 7522 637
80 2094 419
80 1669 632
80 5308 455
81 7191 467
81 8458 196
81 5516 15
81 8829 281
81 4576 256
82 8852 405
82 8988 213
82 582 380
82 5780 317
82 9955 858
83 8439 520
83 5501 815
83 1569 289
83 4622 231
83 1818 346
84 5933 109
84 5741 986
84 7113 907
84 2882 495
84 2898 110
85 859 656
85 9624 901
85 8027 426
85 183 340
85 1046 422
86 7108 495
86 5027 315
86 1274 486
86 1546 915
86 5001 412
87 8651 147
87 3709 539
87 1148 296
87 840 770
87 7394 947
88 9642 812
88 5577 540
88 9556 467
88 9853 665
88 4645 898
89 863 986
89 8654 195
89 8945 78
89 8632 336
89 7685 711
90 3938 242
90 7204 14
90 6426 315
90 560 207
90 9819 487
91 9607 36
91 8982 615
91 791 972
91 7976 248
91 4229 989
92 5406 235
92 4112 24
92 5526 820
92 4802 427
92 3025 999
93 1147 163
93 4598 638
93 7570 978
93 979 336
93 8168 912
94 444 745
94 6051 453
94 6860 282
94 1508 407
94 5586 481
95 8562 123
95 4996 838
95 5999 641
95 4492 701
95 6107 920
96 1666 64
96 9852 357
96 3137 470
96 425 668
96 1178 478
97 8615 13
97 7637 440
97 7406 300
97 4113 697
97 3112 249
98 9912 728
98 4601 216
98 9559 62
98 8990 528
98 3126 398
99 3163 278
99 9037 777
99 1656 630
99 7242 895
99 4837 400
100 3145 121
100 4981 855
100 5206 326
100 7328 554
100 2877 274
101 5063 856
101 2764 618
101 9323 943
101 2197 180
101 9916 708
102 5079 226
102 7782 763
102 4141 232
102 1620 55
102 803 595
103 9015 773
103 350 48
103 1370 891
103 4036 331
103 2281 585
104 9525 481
104 1467 991
104 7563 172
104 1014 416
104 2700 343
